..............1.23.45.6.7..........4...2.3....6....8......4.6....1....8.2....6... (10.3/1.2/1.2)
..............1..2..3.4..5.......56..24..7...7...........6..3...7.2.8...5.......4 (10.2/1.2/1.2)
........1.....2....13....4.....1..5...4......2..5....6....437..5.....8.26........ (10.2/1.2/1.2)
..............1..2....3.45......4.....3....1..6.2.......1.5.....2.7..6...4.8..2.. (10.1/1.2/1.2)
..............1..2..3.4.56............753.....1......8......3...2...8..1.8..5.7.. (10.1/1.2/1.2)
..............1..2..3.4.56............753.....2......8......3...1..5.7...8...2..1 (10.1/1.2/1.2)
..............1..2.34....5......21.6..1.4......35........78.5...2.....3.6........ (10.1/1.2/1.2)
...........1..2..3.4..5..6.........1....6.7.238..4..........6.....3.1...5......4. (10.1/1.2/1.2)
........1.......2...3..4........31......5....25......6..1.6.4...7....3...8.52.... (10.1/1.2/1.2)
........1.....2.3...4.5............6.....15..78.2.......546.....2.....1.3......4. (10.1/1.2/1.2)
........1.....2.3...4.5............6.....15..78.2....4..546.....2.....1.3........ (10.1/1.2/1.2)
........1.....2.3..45..........1.6..2.65.....3............5..7....64.....1.....82 (10.1/1.2/1.2)
........1....23.....4..5.6.......5...1.6.....3..4.........1..74.3.....8.52....... (10.1/1.2/1.2)
........1......234....56........1.5...24..7...3............58.....3..4..1.6...... (10.0/1.2/1.2)
..............1..2..3.4..5.......4....5...3...6.2........7.3....1..5....2..8..9.1 (9.9/1.2/1.2)
........1.....2....13....4........3..5..6.7..89...5......1....2..43.....2.....5.. (9.9/1.2/1.2)
........1.....2....13....4........5..4..3....2....6......1....2..73..6....854.... (9.9/1.2/1.2)
........1.....2..3.23.4.........1.2...5...46...78.........6.....4....3..1.......8 (9.9/1.2/1.2)
........1.....2.3...4.5........4.5...2....6...3...7......3.1.2...5...4..8......6. (9.8/1.5/1.5)
........1.......2...3..4.........5......16....7.38.4....2..53..1....2...8...4.... (9.8/1.2/1.2)
........1.....1.2...3.4........3...4.2....1..5.........6.2......74...3.81....5... (9.8/1.2/1.2)
..............1..2..3...45......6....1....36..2...5.......3.7....84.....6..5....1 (9.7/1.2/1.2)
